Date,P (cm),T (degC),ObvQ (cms)
3/27/2014,0.004,21.6875,14.07986111
3/28/2014,0,22.4,14.20023148
3/29/2014,1.478,22.8,18.6400463
3/30/2014,0.875,20.47083333,15.3599537
3/31/2014,1.987,18.46086957,24.95949074
4/1/2014,1.092,14.6826087,24.04050926
4/2/2014,0.006,15.43333333,18.75
4/3/2014,0.503,15.7,18.13888889
4/4/2014,0.213,15.22916667,16.42013889
4/5/2014,0,18.32916667,15.90972222
4/6/2014,0,18.79583333,14.3599537
4/7/2014,1.573,16.41666667,17.56944444
4/8/2014,0.245,19.26666667,17.75
4/9/2014,0.013,19.55833333,16
4/10/2014,0,20.94166667,16.21990741
4/11/2014,0,20.89166667,14.26967593
4/12/2014,0,22.2625,13.3599537
4/13/2014,0.009,22.20833333,13.3599537
4/14/2014,0,16.83333333,14.26967593
4/15/2014,0,19.4625,13.23958333
4/16/2014,0,20.82083333,13.08912037
4/17/2014,0,21.65833333,12.98958333
4/18/2014,0,21.11666667,13.06944444
4/19/2014,0,21.36842105,13.15972222
4/20/2014,0.004,20.45,12.47916667
4/21/2014,0.014,20.9375,10.95023148
4/22/2014,0.202,18.94166667,10.73032407
4/23/2014,0.031,16.95416667,10.45949074
4/24/2014,2.403,19.74583333,20.32986111
4/25/2014,0.189,21.0125,13.87962963
4/26/2014,1.154,21.63043478,12.70023148
4/27/2014,0.051,21.32916667,15.14583333
4/28/2014,0,20.23333333,12.37962963
4/29/2014,0.014,18.775,12.54050926
4/30/2014,1.419,18.73043478,10.71990741
5/1/2014,2.745,18.39411765,25.27893519
5/2/2014,0.062,21.30833333,32.15046296
5/3/2014,1.142,21.15833333,19.18981481
5/4/2014,0.157,21.35833333,28.90046296
5/5/2014,5.108,16.1875,65.6099537
5/6/2014,2.255,15.05833333,95.28009259
5/7/2014,0.728,18.15416667,74.93055556
5/8/2014,0.052,20.5375,59.42939815
5/9/2014,0.607,20.66666667,47.11921296
5/10/2014,0.141,21.43333333,41.07986111
5/11/2014,0.282,23.56666667,39.04050926
5/12/2014,0.023,23.85833333,33.76967593
5/13/2014,0.029,22.79166667,31.18981481
5/14/2014,0,25.7375,26.98958333
5/15/2014,4.682,22.34583333,55.20949074
5/16/2014,0.446,21.84090909,54.56018519
5/17/2014,0,23.93333333,36.54976852
5/18/2014,0.91,23.45,28.81944444
5/19/2014,1.957,22.21666667,38.96990741
5/20/2014,1.46,22.4625,58.03009259
5/21/2014,4.534,20.18333333,107.5196759
5/22/2014,0.462,21.80833333,104.6701389
5/23/2014,0.178,21.8,67.82986111
5/24/2014,1.36,24.18333333,55.29050926
5/25/2014,0.884,23.94583333,57.97916667
5/26/2014,0.281,25.2375,49.50462963
5/27/2014,0.234,24.61304348,45.90046296
5/28/2014,1.702,24.77916667,39.62962963
5/29/2014,4.939,23.7375,69.14930556
5/30/2014,0.776,23.39583333,65.81944444
5/31/2014,0.408,24.175,50.87037037
6/1/2014,0.014,24.625,43.73032407
6/2/2014,0,25.44583333,37.25
6/3/2014,1.397,23.42727273,35.16898148
6/4/2014,0.466,23.90833333,35.81018519
6/5/2014,1.067,23.55416667,33.34027778
6/6/2014,3.791,23.30416667,66.53935185
6/7/2014,2.397,23.49130435,75.23032407
6/8/2014,2.079,23.3125,106.650463
6/9/2014,0.237,24.0625,123.1099537
6/10/2014,0.186,23.625,88.42013889
6/11/2014,0.942,22.58333333,72.39699074
6/12/2014,0,24.39583333,60.76967593
6/13/2014,0.089,24.47916667,50.01041667
6/14/2014,0.121,25.23333333,45.87962963
6/15/2014,0.875,24.1625,42.18981481
6/16/2014,0.168,24.47916667,48.93981481
6/17/2014,0,25.80833333,41.29050926
6/18/2014,0.301,25.30416667,36.62037037
6/19/2014,0.223,25.55,34.51967593
6/20/2014,0.212,24.83333333,33.95949074
6/21/2014,0.072,25.33333333,31.18981481
6/22/2014,0.997,25.375,32.37037037
6/23/2014,1.646,25.025,35.45949074
6/24/2014,0.671,24.1625,39.54976852
6/25/2014,1.492,24.70833333,60.1099537
6/26/2014,0.024,25.65,41.20949074
6/27/2014,0.183,26.40833333,31.1099537
6/28/2014,0.895,26.15,31.87962963
6/29/2014,2.481,25.60833333,37.65972222
6/30/2014,6.571,24.58333333,147.2800926
7/1/2014,2.235,25.1875,107.9594907
7/2/2014,0.039,26.45,75.5
7/3/2014,0.237,26.67083333,47.76041667
7/4/2014,0.407,25.77916667,50.79050926
7/5/2014,0,26.175,38.61921296
7/6/2014,0.03,27.63333333,36.67013889
7/7/2014,0,27.68333333,29.12962963
7/8/2014,5.853,23.99166667,64.54050926
7/9/2014,0.14,26.7625,58.33912037
7/10/2014,0.937,26.5,51.6099537
7/11/2014,2.117,25.825,47.20023148
7/12/2014,0.156,26.40416667,55.42013889
7/13/2014,0.202,27.06666667,40.12962963
7/14/2014,0.506,25.575,38.76967593
7/15/2014,0.92,25.22916667,52.90046296
7/16/2014,0,25.6173913,44.32986111
7/17/2014,0,26.73333333,35.29976852
7/18/2014,0.923,25.66666667,35.04050926
7/19/2014,0,26.06666667,32.1099537
7/20/2014,0,27.20416667,30.53935185
7/21/2014,0,27.375,27.48958333
7/22/2014,5.671,26.2875,28.02314815
7/23/2014,11.061,23.64166667,610.2303241
7/24/2014,0.017,26.13333333,236.5
7/25/2014,7.286,24.70833333,182.8796296
7/26/2014,0.101,25.09166667,161.5393519
7/27/2014,0,25.85,107.2800926
7/28/2014,0.008,26.0625,86.59953704
7/29/2014,0,26.57916667,69.42013889
7/30/2014,0,26.62083333,63.45023148
7/31/2014,4.127,24.38333333,105.2997685
8/1/2014,0.013,27.13333333,65.76967593
8/2/2014,1.326,26.62916667,63.81018519
8/3/2014,0.707,25.4875,71.31944444
8/4/2014,0.293,25.06666667,61.1099537
8/5/2014,0.095,24.89583333,50.93981481
8/6/2014,0.017,25.8125,49.20949074
8/7/2014,0.66,26.32083333,46.40046296
8/8/2014,0,26.79166667,37.96064815
8/9/2014,0.799,26.88333333,33.67013889
8/10/2014,0.193,26.35416667,32.18981481
8/11/2014,0.431,26.13913043,35.81018519
8/12/2014,0.206,25.77916667,37
8/13/2014,2.845,24.57916667,48.81018519
8/14/2014,0.094,26.42083333,42.1400463
8/15/2014,0.098,26.30833333,36.25
8/16/2014,1.036,25.19166667,35.3900463
8/17/2014,0,25.6,31.84953704
8/18/2014,1.416,24.58333333,32.23032407
8/19/2014,0.886,23.85,28.29513889
8/20/2014,0.192,24.68333333,38.40046296
8/21/2014,0,25.85833333,31.01041667
8/22/2014,0.014,25.375,26.20949074
8/23/2014,0,25.15,28.57986111
8/24/2014,0,25.75416667,25.01041667
8/25/2014,0,26.09583333,25.06944444
8/26/2014,0,25.9875,24.56944444
8/27/2014,1.472,25.17083333,30.73958333
8/28/2014,0.253,25.70833333,28.84953704
8/29/2014,0,26.33333333,28.12962963
8/30/2014,0.189,25.64583333,22.20949074
8/31/2014,0.027,25.62083333,25.04050926
9/1/2014,0,26.68333333,24.1099537
9/2/2014,0,26.97142857,18.84953704
9/3/2014,0,26.725,17.5
9/4/2014,1.221,24.75833333,29.04050926
9/5/2014,0,26.87083333,22.84027778
9/6/2014,0,26.74583333,21.70949074
9/7/2014,0.8375,24.94166667,21.32986111
9/8/2014,0.03,25.39166667,21.56944444
9/9/2014,0.737,24.87083333,19.04050926
9/10/2014,0.503,24.85416667,20.3599537
9/11/2014,0,25.64583333,21.12962963
9/12/2014,0,25.42083333,21.17013889
9/13/2014,0.009,25.54583333,16.93981481
9/14/2014,0,27.32916667,16.3900463
9/15/2014,0,30.07083333,16.15046296
9/16/2014,0.47,27.12916667,15.45023148
9/17/2014,0,26.4625,14.31018519
9/18/2014,0,27.80416667,13.79976852
9/19/2014,0,28.76666667,14.25
9/20/2014,0,26.7375,14.53009259
9/21/2014,3.1665,24.9,18
9/22/2014,6.7955,22.9125,129.2291667
9/23/2014,0.8725,24.11666667,46.70023148
9/24/2014,5.9365,23.72916667,114.5104167
9/25/2014,0.012,25.06470588,90.04050926
9/26/2014,0,24.64166667,44.34027778
9/27/2014,0,24.89166667,31.71990741
9/28/2014,0,24.425,28.23958333
9/29/2014,0,25.275,26.67013889
9/30/2014,0,25.34166667,22.68981481
10/1/2014,0,23.58333333,20.34953704
10/2/2014,0,23.34166667,19.93055556
10/3/2014,0,22.19166667,19.87037037
10/4/2014,0,20.25833333,16.90972222
10/5/2014,0,21.14166667,16.37962963
10/6/2014,0,20.6625,16.51041667
10/7/2014,0,20.6,12.56018519
10/8/2014,0.007,20.63333333,14.68055556
10/9/2014,1.387,21.4125,20.76041667
10/10/2014,4.311,21.46666667,51.75
10/11/2014,3.858,20.34166667,105.5798611
10/12/2014,0.888,19.89583333,91.45023148
10/13/2014,0,18.2875,50.73958333
10/14/2014,0,17.84166667,40.76041667
10/15/2014,0,18.1,31.09953704
10/16/2014,0.009,18.37916667,26.98958333
10/17/2014,0,21.23333333,23.04976852
10/18/2014,0,22.275,22.82986111
10/19/2014,0,22.275,24.73032407
10/20/2014,0,23.75,21.66898148
10/21/2014,0,24.45,17.90046296
10/22/2014,0.013,20.83333333,18.21990741
10/23/2014,0,19.77083333,19.95023148
10/24/2014,0,21.425,16.01041667
10/25/2014,0,22.2375,15.98958333
10/26/2014,0,22.9,16.1412037
10/27/2014,0,21.02083333,15.87962963
10/28/2014,0,21.86666667,12.68055556
10/29/2014,0,23.05416667,14.62037037
10/30/2014,0,22.75833333,14.67013889
10/31/2014,0,21.79166667,17.32986111
11/1/2014,0,21.46666667,13.29976852
11/2/2014,0.077,19.0125,13
11/3/2014,0,16.17083333,13.07986111
11/4/2014,0,17.33333333,12.5
11/5/2014,0,18.0375,12.12037037
11/6/2014,0,18.9625,12.93981481
11/7/2014,0.017,19.725,13.51041667
11/8/2014,0.202,20.64583333,13.53009259
11/9/2014,0.224,18.825,13.21990741
11/10/2014,0.021,19.13333333,13.09953704
11/11/2014,0,18.54583333,12.53009259
11/12/2014,0,17.525,12.76967593
11/13/2014,1.161,15.35833333,14.51041667
11/14/2014,0.185,17.70833333,18.70023148
11/15/2014,0.204,19.4625,14.73032407
11/16/2014,0.017,19.80416667,16.37037037
11/17/2014,1.628,16.52916667,21.32986111
11/18/2014,0.026,15.11363636,36.65972222
11/19/2014,0,17.60833333,23.42013889
